r,meff,dmeff,config
1,0.26666525832917,0.0001302520619665,7
2,0.4579063993224,0.000637587457490738,8
3,0.6248676237609,0.00108533844944793,7
4,0.6248676237609,0.00108533844944793,5
5,0.943522648795548,0.00347620111522272,5
6,1.1042898773874,0.00781900502763073,4
7,1.26385925148565,0.0163439605016185,3
8,1.48744506064289,0.0100341643781649,3
9,1.44507961700002,0.0729098126642273,9
10,1.608445518541,0.153877161144238,3
11,2.14140983364784,0.132462800800277,2
12,1.95604036337844,0.0661743698054286,2
13,2.56705839225474,0.0251378975452083,1
14,2.74963006760808,NA,1
15,2.91450104045429,NA,1
16,3.04509852481791,NA,1
