r,t1,t2,meff,dmeff,chisqr,pval



3,2,3,0.604796497888131,0.00149000016371275,0.0214003896662326,0.883693470018057
3,2,4,0.605268100765658,0.00153188879723355,1.64810093452993,0.438651308557533
3,3,4,0.606046775285475,0.00263400403408437,1.48950718849758,0.222292938069577

4,3,4,0.702480964012772,0.0065756280176749,0.874994145920876,0.349576418112594
4,3,5,0.704786544480704,0.00657850441988791,2.97088846997586,0.226401742758105
4,4,5,0.702702989584765,0.0110993981544547,2.91791225334202,0.087601138102138
4,5,6,0.745587942874116,0.0214505357823122,0.866157524130921,0.352021269423724
4,6,7,0.796144359669954,0.0345898395520817,1.60925046271146,0.204597195948044

5,2,3,0.719061015700277,0.00911134147870636,2.97181818182533,0.0847265796127045
5,3,4,0.678608342695591,0.0181500480064224,1.33827088262722,0.247339131847555
5,3,5,0.677836600567876,0.017921836332444,1.37072775743094,0.503906835238279
5,4,5,0.64685949060898,0.034530544522384,0.10716572363752,0.743394283546463
5,4,6,0.636984817945548,0.0338409037227754,1.77277252475734,0.412142439525544
5,5,6,0.626110074319011,0.0606771580421417,1.72721477968809,0.188766987098717
